Particle_no,Area,Convex area,Perimeter,Convex_Perimeter,Max_Feret,Min_Feret,Aspect_ratio,Feret_aspect_ratio,Circularity,Convexity,Solidity,Equi_diameter,Compactness,Fiber_length,Curl,Average_fiber_diameter,Fiber_elongation
323,6,9,14.4853,13.0777,5.83095,2.23607,10.4601,0.383482,0.440859,0.902826,0.666667,2.76395,0.359341,6,0.971825,1,0.166667
325,120,174.5,76.0833,59.8769,26.0192,10.2956,30.1279,0.395693,0.420604,0.786991,0.687679,12.3608,0.260503,25,1.04077,4.8,0.192
326,152,189.5,61.1127,51.1877,19.105,13.6015,50.087,0.711934,0.728991,0.837595,0.802111,13.9116,0.511435,20,0.955249,7.6,0.38
327,29.5,32,23.0711,22.2847,9.21954,5,22.7578,0.542326,0.746481,0.965915,0.921875,6.12867,0.69646,6,1.53659,4.91667,0.819444
328,89,169,82.9117,49.1499,18.6011,12.0416,33.4865,0.64736,0.462971,0.592799,0.526627,10.6451,0.162693,27,0.688929,3.2963,0.122085
329,37.5,46.5,29.5563,25.3643,8.60233,7.61577,28.6458,0.885316,0.732479,0.858168,0.806452,6.90988,0.539436,7,1.2289,5.35714,0.765306
330,43.5,59.5,41.2132,32.4875,13.8924,6.08276,23.2692,0.437847,0.517925,0.788278,0.731092,7.44217,0.32183,12,1.1577,3.625,0.302083
331,168.5,201,65.0122,53.0708,19,15.6205,54.7435,0.822132,0.751794,0.816321,0.838308,14.6472,0.50098,20,0.95,8.425,0.42125
332,43,48,28.4853,27.3099,10.7703,6.08276,27.0266,0.56477,0.724498,0.958738,0.895833,7.39928,0.665943,6,1.79505,7.16667,1.19444
333,17,21.5,19.3137,17.6989,6.40312,5,19.3243,0.780869,0.681971,0.916391,0.790698,4.65243,0.5727,8,0.800391,2.125,0.265625
334,1.5,3,8.24264,7.81256,3.16228,1.41421,7.92576,0.447214,0.308826,0.947822,0.5,1.38198,0.27744,4,0.790569,0.375,0.09375
335,16.5,18.5,17.0711,16.4628,6,4,19.6442,0.666667,0.76504,0.964371,0.891892,4.5835,0.711496,7,0.857143,2.35714,0.336735
